ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Faculteit,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10091157,M,10,3056,B Beta-gamma,FNWI,1-9-2010,0,AC,MATR,19-7-2010,31-12-2010,0,DC,DISC,4-1-2011,391,,,,,,
10092099,M,10,3056,B Beta-gamma,FNWI,1-9-2010,0,AC,MATR,19-7-2010,31-8-2012,0,SP,SPND,13-12-2012,410,,,,,,
10095942,F,10,3056,B Beta-gamma,FNWI,1-9-2010,0,AC,MATR,19-7-2010,31-8-2012,0,SP,SPND,13-12-2012,410,,,,,,
10122974,M,10,3056,B Beta-gamma,FNWI,1-9-2010,0,AC,MATR,23-8-2010,31-8-2015,4,SP,SPND,20-1-2016,410,305615,B,5-8-2015,Z,5-8-2015,9-7-2015
10170359,F,10,3056,B Beta-gamma,FNWI,1-9-2014,1,AC,MATR,1-5-2014,1-9-2014,1,AC,MATR,1-5-2014,120,,,,,,
10174176,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,16-6-2011,1-9-2012,2,AC,MATR,18-6-2012,120,,,,,,
10187014,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,16-6-2011,31-8-2016,0,SP,SPND,26-10-2016,410,305615,B,6-9-2016,Z,6-9-2016,22-6-2016
10190155,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2015,0,SP,SPND,13-11-2015,410,305615,B,22-7-2015,Z,22-7-2015,10-7-2015
10194517,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2015,0,SP,SPND,13-11-2015,410,305615,B,29-7-2015,Z,29-7-2015,9-6-2015
10198822,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-1-2016,0,DC,VDIS,13-6-2016,200,305615,B,15-6-2016,Z,15-6-2016,29-1-2016
10206353,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-3-2012,0,DC,DISC,26-3-2012,391,,,,,,
10207309,F,10,3056,B Beta-gamma,FNWI,1-9-2012,0,AC,MATR,5-5-2012,1-9-2012,0,AC,MATR,5-5-2012,120,,,,,,
10217142,F,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2016,1,SP,SPND,26-10-2016,410,305615,B,7-6-2016,Z,7-6-2016,2-2-2016
10218521,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2015,0,SP,SPND,20-1-2016,410,,,,,,
10243879,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,17-6-2011,31-8-2012,0,SP,SPND,13-12-2012,410,,,,,,
10244298,M,10,3056,B Beta-gamma,FNWI,1-9-2011,0,AC,MATR,17-6-2011,29-2-2016,1,DC,VDIS,1-3-2016,200,305615,B,3-3-2016,Z,3-3-2016,17-2-2016
