ID,Geslacht,Loopbaan,Studieprogramma,Oms. Studieprog.,Ingangsd.start,Opleidingsnr.start,Status,Progr.actie,Datum actie start,Ingangsd.eind,Opleidingsnr.eind,Status,Progr.actie,Datum actie,Actiereden,Studiepl.dipl.,Studieniv.dipl.,Ingangsd.dipl.,Status,Statusdatum,Examendatum
10161740,F,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10162046,F,15,4120,M Information Studies,1-9-2017,0,AC,MATR,2-4-2017,1-9-2017,0,AC,MATR,2-4-2017,120,,,,,,
10172297,M,15,4121,M Artificial Intelligence,1-9-2015,1,AC,MATR,18-8-2015,1-9-2015,1,AC,MATR,18-8-2015,VUIN,,,,,,
10176268,M,15,4132,M Computational Science,1-9-2015,0,AC,MATR,29-8-2015,1-9-2015,0,AC,MATR,29-8-2015,VUIN,,,,,,
10176268,M,15,4278,M Computer Science (jd),1-9-2016,1,AC,MATR,26-7-2016,1-9-2016,1,AC,MATR,26-7-2016,VUIN,,,,,,
10177590,M,15,4121,M Artificial Intelligence,1-9-2015,0,AC,MATR,19-8-2015,1-9-2016,2,AC,MATR,2-5-2016,120,,,,,,
10179194,M,15,4132,M Computational Science,1-9-2014,1,AC,MATR,6-5-2014,31-8-2015,1,SP,SPND,13-11-2015,410,,,,,,
10183159,M,15,4118,M System & Network Engineering,1-9-2015,0,AC,MATR,6-5-2015,31-8-2016,0,SP,SPND,26-10-2016,410,411825,M,16-9-2016,Z,16-9-2016,23-8-2016
10184465,M,15,4132,M Computational Science,1-9-2014,0,AC,MATR,21-7-2014,1-9-2014,0,AC,MATR,21-7-2014,120,,,,,,
10184465,M,15,4278,M Computer Science (jd),1-9-2016,1,AC,MATR,18-8-2016,30-9-2016,1,DC,VDIS,3-2-2017,200,,,,,,
10184805,M,15,4120,M Information Studies,1-9-2014,0,AC,MATR,6-5-2014,31-8-2016,1,SP,SPND,28-10-2016,410,412025,M,22-9-2016,Z,22-9-2016,14-7-2016
10196129,M,15,4121,M Artificial Intelligence,1-9-2014,0,AC,MATR,6-5-2014,31-12-2016,0,DC,VDIS,22-12-2016,200,412125,M,15-12-2016,Z,15-12-2016,4-12-2016
10198822,M,15,4277,M Computational Science (jd),1-9-2016,0,AC,MATR,13-7-2016,1-9-2016,0,AC,MATR,13-7-2016,120,,,,,,
10199969,M,15,4120,M Information Studies,1-9-2014,0,AC,MATR,6-5-2014,31-8-2015,0,SP,SPND,20-1-2016,410,412025,M,21-7-2015,Z,21-7-2015,14-7-2015
10200363,M,15,4119,M Software Engineering,1-9-2014,0,AC,MATR,11-6-2014,31-8-2016,0,SP,SPND,26-10-2016,410,,,,,,
10200363,M,15,4121,M Artificial Intelligence,1-9-2016,1,AC,MATR,2-5-2016,1-9-2016,1,AC,MATR,2-5-2016,120,,,,,,
10203974,M,15,4120,M Information Studies,1-9-2015,0,AC,MATR,6-5-2015,1-9-2016,1,AC,MATR,6-5-2016,120,,,,,,
10206353,F,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10206620,M,15,4121,M Artificial Intelligence,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10207120,M,15,4120,M Information Studies,1-9-2014,0,AC,MATR,6-5-2014,31-8-2015,0,SP,SPND,13-11-2015,410,412025,M,9-9-2015,Z,9-9-2015,20-8-2015
10213376,F,15,4120,M Information Studies,1-9-2017,2,AC,MATR,6-4-2017,1-9-2017,2,AC,MATR,6-4-2017,120,,,,,,
10218572,M,15,4120,M Information Studies,1-9-2016,0,AC,MATR,2-5-2016,1-9-2016,0,AC,MATR,2-5-2016,120,,,,,,
10218807,M,15,4120,M Information Studies,1-9-2015,1,AC,MATR,2-7-2015,1-9-2015,1,AC,MATR,2-7-2015,VUIN,,,,,,
10218807,M,15,4121,M Artificial Intelligence,1-9-2014,0,AC,MATR,7-7-2014,31-8-2015,0,SP,SPND,13-11-2015,410,,,,,,
10246215,M,15,4277,M Computational Science (jd),1-9-2017,0,AC,MATR,9-11-2016,1-9-2017,0,AC,MATR,9-11-2016,120,,,,,,
10246673,F,15,4120,M Information Studies,1-9-2017,0,AC,MATR,31-3-2017,1-9-2017,0,AC,MATR,31-3-2017,120,,,,,,
